Timestamp,feeling,note,latitude,longitude
2025-11-06 15:06:57.658,Anger,,48.7505503,9.2896016
2025-11-06 15:08:25.876,Anger,Abbiegen ,48.7527091,9.2907604
2025-11-06 15:10:32.537,Anger,Hund,48.7555799,9.2866369
